type	sen
【爱情语句】	 恬恬静静温柔，端端正正品优，实实在在德厚。清清秀秀，纯纯洁洁明眸。
【爱情语句】	 你喜欢长长的夏季吗?因为一阵风，因为一场梦。哈哈 ，我喜欢你。清晨，午后和伴晚。都喜欢你!
【爱情语句】	 我喜欢你，所以静静的等你，不论春秋，不分白昼，就在那每时每刻，每分每秒，每一个呼吸，等你。
【爱情语句】	 那天，你问我下雨了吗，我在心里默默告诉自己，那天下了两滴雨，一滴滴在你心里，一滴滴在我心里。
【爱情语句】	 我从来不记得回家的路，因为我知道，他总会在我经过的地方，傻傻地等着我。
【爱情语句】	 ?别追公交车了，追我吧。我走得很慢而且很可爱。
【爱情语句】	 ?你可知我百年的孤寂只为你一人守候，千夜的恋歌只为你一人而唱。
【爱情语句】	 ?没有你，我的天空少了一片色彩;没有你，我的世界多了一种思念。
【爱情语句】	 ?我做好了要与你过一辈子的打算，也做好了你随时要走的准备，这大概是最好的爱情，观深情而不纠缠。
【爱情语句】	 ?人的一生有很多幸运，比如遇见你，原来你是我最想留住的幸运。
【爱情语句】	 ?若我白发苍苍，容颜迟暮，你会不会，牵我双手，倾世温柔。
【爱情语句】	 ?我行过许多地方的桥，看过许多次数的云，喝过许多种类的酒，却只爱过一个正当最好年龄的人。
【爱情语句】	 ?早上起来，看到你和阳光都在，就是我想要的未来。
【爱情语句】	 ?喜欢你的笑容，喜欢静静的看着你，我的忧愁像云一般一下子就飞去了。
【爱情语句】	 ?我的嘴巴里有情话，身上有阳光，脑子里有爱情，灵魂中有慌乱，而心里有个你。
【爱情语句】	 ?我给不了你世界上最好的一切，可是我一定会把我最好的一切都给你。
【爱情语句】	 ?一生至少该有一次，为了某个人而忘了自己，不求有结果，不求同行，不求曾经拥有，甚至不求你爱我;只求在我最美的年华里，遇到你。
【爱情语句】	 ?最想牵的还是你的手，最想念的还是你笑脸，虽然时间改变了我们的容颜，却始终改变不了我爱你的诺言，亲爱的，我爱你，一生不变。
【爱情语句】	 ?如果陪我到最后的人是你，那么以前经历过的苦难、伤痛和绝望，都显得不再重要，你可以不用成为我生命中的阳光，但你一定是我的归宿。
【爱情语句】	 ?喜欢一个人的感觉，大概就是听别人讨论爱情，我只想起你。
