,type,sen
0,【优美语句】,  那些抹不去的笑脸，回不去的日子，叫时光。那些看过的海，落下的夕阳，叫时光。那些牵过的手，留下的泪，也叫时光。再见，时光。再也不见。
1,【优美语句】,  对在乎你牵挂你为你哭的人好一点，别哪天一梦醒来发现在数星星的时候把月亮弄丢了。
2,【优美语句】,  一个人在恋爱时最能表现出天性中崇高的品质。这就是为什么爱情小说永远受人欢迎——不论古今中外都一样。
3,【优美语句】,  隐约雷鸣，阴霾天空。但盼风雨来，能留你在此.隐约雷鸣，阴霾天空。即使天无雨，我亦留此地。
4,【优美语句】,  现在想来，当时的我一定也在蹒跚地寻找自己的脚步。哪一天，如果我能走的更稳更远了，就去见你。
5,【优美语句】,  每晚临睡前，每天睁开眼的瞬间，不知不觉，我都在祈盼雨天，祈盼雨天，祈盼和那个人，再次相会。在我看来，她仿佛代言了这整个世界的秘密。
6,【优美语句】,  要关怀对自己来说重要的人，要变得温柔和强大。就算哪天突然孤身一人，也能平静地活下去，不至于崩溃。
7,【优美语句】,  小时候，天空分明触手可及，于是喜欢上雨，因它带来天空的气味。
8,【优美语句】,  为你，我愿化成一座做石桥，经受五百年的风吹雨打，只求你从桥上走过，等你的一眼回眸。 宇宙洪荒，泪不尽遗世风霜。流年末世，此生痴守为一人。
9,【优美语句】,  岁月的暖，漫过时间的河，抚过久闭的心扉，我在时光斑驳深处，聆听到花开的声音。
10,【优美语句】,  我们总是在注意错过太多，却不注意自己拥有多少。
11,【优美语句】,  我是一个经常笑的人，可我不是经常开心的人。
12,【优美语句】,  不要说，这世上没个好男人了，不要去记恨那个抛弃你的人，毕竟曾经爱过你，疼过你，宽容会让你更美丽。
13,【优美语句】,  有时候，我会觉得什么都是假的，但这并不妨碍我发自内心地相信，并爱着这个世界。
14,【优美语句】,  有时候我在街上走，忽然就很害怕遇到你。我现在这个模样，还是完全不知道如何面对你。
15,【优美语句】,  你要赶快来爱我，等我变成长颈鹿，你就只能够到我的膝盖了。
16,【优美语句】,  爱和喜欢是同义词么?不过，爱一朵花就为她浇水。喜欢一朵花就把她摘下来。喜欢和讨厌是反义词么?喜欢一朵花就把她摘下来。讨厌一朵花也会把她摘下来。
17,【优美语句】,  你知道，这世界如此寂寞。没有按下的发送键，季风的转向，云雨的流动和鸟的迁徙。以及，没有对你说出口的，再见。
18,【优美语句】,  不管昨夜经历了怎样的泣不成声，早晨醒来这个城市依然车水马龙。
19,【优美语句】,  可能我只是你生命里的一个过客，但你不会遇见第二个我。
20,【优美语句】,  很久以后，那些好极了和糟透了的时刻我们都会忘记，唯一真实和难忘的是，我们抬头挺胸走过的人生。
21,【优美语句】,  想找个保鲜盒，把你给我的那些感动都装起来，当我不那么喜欢你的时候，就拿出来回味一下。
22,【优美语句】,  有一种就像是拥有独立生命的喜悦常常不分场合地找到我，像太阳总在我们看不见它的时候升起来那样，这喜悦也总是猝不及防地就把我推到光天化日之下，让我在某个瞬间可以和任何人化干戈为玉帛。与谅解无关，与宽容无关，我只不过是快乐。
23,【优美语句】,  因为你是这个世界上最干净的，最温暖的，最柔软的，我不能用那些通用的所谓聪明来解释你，来对待你，来敷衍你。曾经你是我的理想，可是后来我终于发现，我自己的理想原来不过如此，和所有人的一样没什么了不起，和所有人的一样不堪一击。但是你依然是你，你还在那儿，你绽放着，你比任何一种理想都要有血有肉，都要生机勃勃。
24,【优美语句】,  人类虽然聪明，但是有个最大的弱点，就是出于习惯忘记了初心。
25,【优美语句】,  命运使我们两个会于一堂，其他一概不提。
26,【优美语句】,  你是对的人，不得不承认。
27,【优美语句】,  不论是公转还是自转，  涨潮还是退潮。不论是暖流改变气温带来鱼群，还是海水淹没岛屿失去踪迹。不论是我的世界车水马龙繁华盛世，还是它们瞬间都化为须臾。我都会坚定的走向你。不迷惑，不慌张，不犹豫。
28,【优美语句】,  你的一声“晚安”抵得过我四百八十万刹那的思念，晚安，我爱的你。
29,【优美语句】,  想用余生为你暖一盏茶，微风扬起时，别忘了归家。
30,【优美语句】,  虽然我清心寡欲总说情爱没有什么意思，但仍然希望你永远贪恋我。
31,【优美语句】,  曾经，我以为我们这一生很长很长，总会爱很多的人，后来才发现，不管时间如何张牙舞爪，光阴如何死去活来，最后你记忆里所能铭记的爱人其实只有两个，一个他爱你，一个你爱他。
32,【优美语句】,  如果爱情不能使一个人变成平常不会出现的那一个人，那么爱情的魔力也未免太小了。不是我们日夜祈手祷盼的，那种够资格称为爱情的爱情。
33,【优美语句】,  这时候还年轻得很，想着要在未来的某一天，去吹吹伊豆庭院里的风，去太平山顶俯瞰维多利亚港的夜，将红�|码头，万家灯火尽收眼底。这时候还年轻得很，躺下来看看天空呀，就觉得未来于我还是无限明朗，无限风光。
34,【优美语句】,  我把那些不足为道、存有顾虑的情绪都设置为「仅自己可见」。
35,【优美语句】,  尽管我们交谈甚浅，但我还是想带着我那仅知道的，你的一点习惯和爱好，在和你这么近的这里沉默地生活。
36,【优美语句】,  你呀，就像书里被折了角的那一页。翻是翻过去了，只不过很快又能找到。
37,【优美语句】,  想了想，如果在好事即将发生时，我却提前弃权了，那可真是太亏了。
38,【优美语句】,  小时候哭是觉得自己太委屈，长大了哭是对自己太失望。
39,【优美语句】,  结果没出来，谁知道呢?人生不是有那么多的可能性吗?我相信你，同样的，你也要加油。
40,【优美语句】,  最喜欢今天天空的蓝了，极淡的颜色像是童年记忆里醇醇的酸奶和棒冰。云也很多，成团或分散地在头顶上方翻卷缠绵。多想向机器猫要一根竹蜻蜓睡在云里啊。
41,【优美语句】,  希望迈过这道坎后，那些心有不甘却力所不及的日子也能够变得有意义。
42,【优美语句】,  都说一切随缘，可碰到心动的人还是忍不住多努力一把。
43,【优美语句】,  如果自己不想积极认真地生活，不管得到什么样的回答都没有用。
44,【优美语句】,  下雨天真好，这世间的嘈杂在这一刻都被雨声覆盖，让人有了片刻宁静。
45,【优美语句】,  人在不断成长中最重要的事是学会喜欢自己吧。
46,【优美语句】,  热是熟悉的，粘腻的风更不必说。这里好像一直保持最初的质朴，滞留了摇曳的树叶，晃也不晃的深绿草丛。
47,【优美语句】, 我有很温柔的一面，也有很凶的一千七百二十一面。
