,type,sen
0,【伤感语句】, 外表的华丽，只是为了掩饰内心的痛苦而已。
1,【伤感语句】, 爱笑的人也是把委屈磨难藏得最深的人。
2,【伤感语句】, 给他酒又不能太多，醉了就不知道酒的滋味。
3,【伤感语句】, 雪莉走了，我很忧伤，她如一个用雪堆出的美人，终究不能长久，雪曝光在美光灯下，消融得极迅速，雪化了，却留给世界无尽的遗憾与怀想。
4,【伤感语句】, 捆绑自己三年的记忆，刹那间想不起任何画面……
5,【伤感语句】,  越活越冷清，不指望谁做我的救星。
6,【伤感语句】,  我们在各自的世界相安无事。
7,【伤感语句】,  时光不会倒着走我也不要再回头。
8,【伤感语句】,  你从不拒绝我，又不叫我离开，也不让我留下来。
9,【伤感语句】,  胸怀也许真的就是用委屈撑大的。
10,【伤感语句】,  听书人笑了，说书人哭了。
11,【伤感语句】,  你是我的万劫不复也是我的义无反顾。
12,【伤感语句】,  有些伤疤会被记忆所掩藏，但它终会刻在记忆的年轮中，某时某刻的想起，突然发现，有些事情还是无法去面对它。
13,【伤感语句】,  心上的伤，只有自己最疼;难言的痛，只有自己最懂。其实，很多心事，不必说给每个人听。
14,【伤感语句】,  倒啤酒时上面总有一层泡沫，看似庞大，但抿一口全是空气，你给的感情也是。
15,【伤感语句】,  最怕的感觉是，他伸出手要握住你的手，你小心翼翼的终于确定了他是真的喜欢你，才敢伸出手去握住他的手，他却收回了手嘲笑你这个好骗的傻子。
16,【伤感语句】,  你没见过我在洗澡时因为你发消息给我我擦擦手秒回的样子，你没见过我在很困的时候仍然硬撑着和你说我等你睡了再睡的样子，你没见过我因为你不喜欢什么东西我去努力改的样子，你没见过我每天没事就抱着手机等你回消息的样子，你没见过，所以你不知道珍惜。
17,【伤感语句】,  八十难我都渡过了，最后一难却是你。
18,【伤感语句】,  可惜我还没有遍历山河，值得的人已经不值得。
19,【伤感语句】,  你说无论我变成什么样子都不会离开我，于是我摘下面具却看到了落荒而逃的你。
20,【伤感语句】,  多少怦然心动，到最后变成泛泛之交。
21,【伤感语句】,  谢谢你，让我喜欢过你。
22,【伤感语句】,  他生若夏花，爱若寒冬，终是等不到春来的时刻。
23,【伤感语句】,  最糟糕的感觉，就是不知道该等待还是放弃。
24,【伤感语句】,  有些人忘记了，输入法还没忘。
25,【伤感语句】,  我曾练习过无数次的若无其事，到最后都无济于事。
26,【伤感语句】,  有些心事，无处倾诉，只能一个人清除。有些委屈，没有人理解，只能一个人忍受。我们每个人都有不能言说的委屈，都有不能倾诉的心事。
27,【伤感语句】,  原来成年人的感情，是不追问，是不解释，是心照不宣，是突然走散，是自然消减，是一种冰冷的默契。
28,【伤感语句】,  我爱过你，不后悔，不重来。
29,【伤感语句】,  任何一种，需要你花尽心思去讨好的感情，都不会撑的太久。
30,【伤感语句】,  以后你遇到的人，都是心里装着别人的人，没有人会再用全部去爱你。
31,【伤感语句】,  有些事，在一次次的失望中就想通了。
32,【伤感语句】,  我们说了那么久的天长地久，陪你走到最后的始终不是我。
33,【伤感语句】,  风雨是你，来得无息，走得彻底。
34,【伤感语句】,  感受到一点甜就要挨一刀的日子，我不要了。
35,【伤感语句】,  许多得不到的，只能先假装不喜欢。
36,【伤感语句】,  天，越来越冷，年，越来越近，心，茫然不安，一年又一年从指间悄然流失，增长的只有年龄，不知从何时开始，过年不再是一种渴望和喜悦。
37,【伤感语句】,  一哄就好的人，活该受尽委屈。
38,【伤感语句】,  在我心上用力地开一枪，让一切归零在这声巨响。
39,【伤感语句】,  现在的我和你就像上海的南京路，南京的上海路，毫无关系。
40,【伤感语句】,  费劲心思想和你聊天的样子，我自己都烦。
41,【伤感语句】,  还是很想主动联系你，可热情这东西，毕竟很脆弱，被忽略了几次后，就不愿再提起来了。
42,【伤感语句】,  你终于相信生命中会出现这样一个人就算不顾一切，就算倾其所有，就算万死不辞，你也无法和他走到最后。
43,【伤感语句】,  你们有没有遇见过这样一个人啊，明明是他先闯进你的世界，却在你日渐上心的时候扬长而去，留你一个人在日后漫长的岁月里，一边等待一边凋零，你永远都记得最初的温暖，可是那个来过你世界的人好像再也没打算回来。
44,【伤感语句】,  别人喜欢你我可以阻挡，可是你喜欢别人，我该怎么办。
45,【伤感语句】,  最最讨厌的事情就是，他很长一段时间都忽略你，然后又突然开始和你说话，开始关心你好像什么事情也没有发生过一样。
46,【伤感语句】,  不是回不去了，而是都过去了，和那个阶段的你说再见。不会忘了你，你曾是我生命里重要的一部分，只是，都结束了，我们该好好道别。
47,【伤感语句】,  我终于熬过那段，看谁都像你，看什么都想你，听的歌全是关于你的日子。很庆幸，我终于可以顺利得不问归期，不再联系，不用等你。
48,【伤感语句】,  人和人之间是不能生分的，生了一分，剩下的七八分都会跟着走只有小孩子才会问你为什么不理我，而成年人都是默契的离开。
49,【伤感语句】,  最怕你在我看不见的地方陪着别人。
50,【伤感语句】,  努力去忘记，去填满没有你的时间和生活，却怎么努力也填满不了，那颗没资格再爱你的心。
51,【伤感语句】,  决定把你还回人海的时候，我就没想过还能在找到你。
52,【伤感语句】,  敷衍表示谎言已经开始，冷淡表示感情即将结束。沉默就是答案，躲闪就是答案，不再主动就是答案，其实，你早就该明白。
53,【伤感语句】,  你要多久才能明白，你跟这个人已经没有以后了。
54,【伤感语句】,  年少时不要遇见太惊艳的人，误终身。
55,【伤感语句】, 把备注从亲昵改为全名是有多失望。
56,【伤感语句】," 1、无人我夜很深，无人同我共清晨!
2、倾世繁花，终负蒹葭，惹一生牵挂!
3、你在，春华秋实夏蝉冬雪，你不在，春夏秋冬
4、愿情话终有主，相思皆有归属!
5、花开花落无所依，月下伊人泪成痕!
6、始于一见钟情，终于挫骨扬灰!
7、一笑而过不喜红尘，穷极一生钟情一人!
8、最是年少别离时，若离去，便无期!
9、执念于心，故而成魔，轮回千世，百死不悔!"
57,【伤感语句】, 总想留下什么寄给曾经，却发现除了记忆，早已一无所有。
58,【伤感语句】, 竹之云，愿作繁盛中杂草，乱世中丛生。
59,【伤感语句】,  别等我变坏了，你才心疼我，别等我走了，才想起我，别等我变了，你才说你喜欢原来的我。
60,【伤感语句】,  像失望和委屈，这种东西没必要解释。
61,【伤感语句】,  你说我会遇到比你更好的人，但其实是你想遇到比我更好的人吧。
62,【伤感语句】,  喜欢用凉水洗头所以总是头疼，喜欢吃零食烧烤冰淇淋所以总胃疼，喜欢熬夜熬到很晚所以近视总是很严重，喜欢你到无可救药所以你才不珍惜，是不是所有的喜欢都要付出代价。
63,【伤感语句】,  有时候，没有下一次，没有机会重来，没有暂停继续。有时候，错过了现在，就永远永远的没机会了。
64,【伤感语句】,  我主动来找你，是因为我太喜欢你，我已经不主动找你，因为你每一句回复都敷衍得那么不走心，不是不喜欢你了，只是不敢再那样喜欢了。
65,【伤感语句】,  真正放弃一个人是无声无息，不会把他拉入黑名单，不会删掉他得电话，看到他过得好可以毫不羡慕地点赞，即便路上碰见他可以给一个恰当的笑，只是我心里清楚，我们不会再熟络地聊天到深夜，不会因为你矫情到阴晴不定，当初那么喜欢，那么释然。这段路，只能陪你到这了，因为后面的路有人陪了。
66,【伤感语句】,  当关心和陪伴变成打扰，孤独就是救赎。
67,【伤感语句】,  别喝酒，别一个人夜里吹冷风，也别再来找我。
68,【伤感语句】,  今天她结婚，我请假，开了一天一夜的车到她家附近，车队来了，她穿婚纱的样子真好看，和我想象的不差，像公主一样，跟在车队后面一个多小时，都听到了外面敲锣打鼓的声音，手机收到一条信息“别送了，我到了，对不起”一刹那在车里哭的像个孩子……
69,【伤感语句】,  我没有等你，我只是没办法喜欢上别人。
70,【伤感语句】,  那些痛不欲生撕心裂肺的日子都只能自己咬着牙慢慢熬出来。
71,【伤感语句】,  她以前不爱啤酒不爱烟的味道，后来她把酒当水喝烟不离手，她以前抹着嫩粉的唇彩，后来她爱上了烈焰红唇，她以前穿着校服就是清纯模样，后来她开始化妆，她以前受伤总会在朋友面前委屈落泪，后来她说她一切无所谓，不过喝酒撒疯重新开始，她变了最初模样，只因一个他。
72,【伤感语句】,  爱你的这些个日头足够心酸，也不怕辛苦，只顾得带着一腔愚勇，不知是感动自己还是恶心你，一再死撑走到这里，可是失望总会攒够，心也会凉，以后不会再期待也不再去依靠，你走了就走了，我也不等了。
73,【伤感语句】,  对你的喜欢就像七八岁时的英雄梦，不可一世又不堪一击。
