,type,sen
0,【励志的话】, 成功之时不可忘了过去，失败之时记得还有未来。
1,【励志的话】, 无志者常立志，有志者立常志，咬定一个目标的人最容易成功。
2,【励志的话】, 人呀，只有享不了的福，没有受不了的罪。人生路漫漫，坚强勇敢的往前走吧！
3,【励志的话】, 如果你有鸭梨，把它放冰箱里，它就会变成冻梨。
4,【励志的话】, 路就在脚下，你无力改变终点，但却能决定脚踏出的方向。
5,【励志的话】, 所有人都有长处。因此总有一些我们可以学习借鉴的地方。
6,【励志的话】, 今天再大的事，到了明天就是小事；今年再大的事，到了明年就是故事。
7,【励志的话】, 你必须坚强，因为没有人会懂你到底有多痛。
8,【励志的话】, 心的梦想，及是飞上天堂，我的梦想是实现理想。
9,【励志的话】, 只要学不死，就往死里学。说出来会被嘲笑的梦想才有实现它的价值。
10,【励志的话】, 命运如同手中的掌纹，无论多曲折，终掌握在自己手中。
11,【励志的话】, 勤奋是你生命的密码，能译出你一部壮丽的史诗。
12,【励志的话】, 如果你能像看别人缺点一样，如此准确的发现自己的缺点，那么你的生命将会不平凡。
13,【励志的话】, 人生就像一座山，重要的不是它的高低，而在于灵秀；人生就像一场雨，重要的不是它的大小，而在于及时。
14,【励志的话】, 努力过后，才知道许多事情，坚持坚持，就过来了。 
15,【励志的话】, 成功不是将来才有的，而是从决定去做的那一刻起，持续累积而成。
16,【励志的话】, 生活上有一个重要的原则，就是千万不要去跟别人比较，也不要与人计较。
17,【励志的话】, 在人之上，要视别人为人；在人之下，要视自己为人。
18,【励志的话】, 嘲讽是一种力量，消极的力量。赞扬也是一种力量，但却是积极的力量。 
19,【励志的话】, 一个人除非自己有信心，否则不能带给别人信心。 
20,【励志的话】, 你在一生中，可以有所作为的时候只有一次，那就是现在。
21,【励志的话】, 你追我赶拼搏争先，流血流汗不留遗憾。 
22,【励志的话】, 别想一下造出大海，必须先由小河川开始。
23,【励志的话】, 在希望与失望的决斗中，如果你用勇气与坚决的双手紧握着，胜利必属于希望。 
24,【励志的话】, 在工作中从完善到创新，是证明自我的价值，是自我进步的过程，是说明自我有信心，有潜质迎接挑战的勇气。 
25,【励志的话】, 不要指望别人能替你体验生活，该吃的苦就要自己来吃，该有的经历都要一一历练。
26,【励志的话】, 赚钱之道很多，但是找不到赚钱的种子，便成不了事业家。
27,【励志的话】, 运气不能持续一辈子，能持续一辈子的是你个人的能力。
28,【励志的话】, 一个常常看别人缺点的人，自己本身就不够好，因为他没有时间检讨他自己。
29,【励志的话】, 志在峰巅的攀登者，不会陶醉在沿途的某个脚印之中。
30,【励志的话】, 现在，我只想你身边陪伴你的那个人，懂得你需要什么不需要什么。
31,【励志的话】, 障碍与失败，是通往成功最稳靠的踏脚石，肯研究、利用它们，便能从失败中培养出成功。
32,【励志的话】, 人的生命似洪水在奔流，不遇着岛屿、暗礁，难以激起美丽的浪花。
33,【励志的话】, 吃别人吃不了的苦，忍别人受不了的气，付出比别人更多的，才会享受的比别人更多。 
34,【励志的话】, 虽然我们无法改变人生，但可以改变人生观。虽然我们无法改变环境，但我们可以改变心境。
35,【励志的话】, 所有的胜利，与征服自我的胜利比起来，都是微不足道。
36,【励志的话】, 人生就是这样，在这里失去了，往往会在那里得到回报。 
37,【励志的话】, 不去耕耘，不去播种，再肥的沃土也长不出庄稼，不去奋斗，不去创造，再美的青春也结不出硕果。 
38,【励志的话】, 成功是一种观念，致富是一种义务，快乐是一种权力。 
39,【励志的话】, 当一个人先从自己的内心开始奋斗，他就是个有价值的人。 
40,【励志的话】, 没有人能预知未来的命运，但咱们能够用愉悦的表情应对命运。 
41,【励志的话】, 有些失望是不可避免的，但大部分的失望都是因为我高估了自己。 
42,【励志的话】, 你硬要把单纯的事情看得很严重，那样子你会很痛苦。
43,【励志的话】, 有朝一日你动了爱情，千万保守秘密，没有弄清楚对方的底细，决不能掏出你的心来。 
44,【励志的话】, 即使道路坎坷不平，车轮也要前进；即使江河波涛汹涌，船只也航行。
45,【励志的话】, 如果惧怕前面跌宕的山岩，生命就永远只能是死水一潭。
46,【励志的话】, 生活不是让你用来妥协的。你退缩得越多，那么可以让你喘息的空间也就是越少。 
47,【励志的话】, 经过大海的一番磨砺，卵石才变得更加美丽光滑。 
48,【励志的话】, 做事不需人人都理解，只需尽心尽力，做人不需人人都喜欢，只需坦坦荡。
